datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Coal,16268,0.169,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Gas,42960,0.447,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Hydro,1169,0.012,True
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Multiple Fuels,826,0.008,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Nuclear,32396,0.337,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Oil,212,0.002,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Other Renewables,525,0.005,True
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Solar,10,0.000,True
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Storage,0,0.000,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Wind,1654,0.017,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Coal,17801,0.176,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Gas,45243,0.448,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Hydro,1572,0.015,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Multiple Fuels,1090,0.010,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Nuclear,32312,0.320,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Oil,543,0.005,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Other Renewables,519,0.005,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Solar,10,0.000,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Storage,0,0.000,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Wind,1794,0.017,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Coal,18252,0.170,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Gas,49030,0.457,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Hydro,3190,0.029,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Multiple Fuels,1598,0.014,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Nuclear,32238,0.300,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Oil,608,0.005,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Other Renewables,527,0.004,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Solar,10,0.000,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Storage,0,0.000,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Wind,1773,0.016,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Coal,18706,0.163,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Gas,54201,0.472,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Hydro,4857,0.042,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Multiple Fuels,1784,0.015,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Nuclear,32207,0.280,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Oil,673,0.005,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Other Renewables,506,0.004,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Solar,12,0.000,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Storage,2,0.000,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Wind,1816,0.015,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Coal,18641,0.159,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Gas,55640,0.477,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Hydro,5195,0.044,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Multiple Fuels,1990,0.017,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Nuclear,32079,0.275,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Oil,678,0.005,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Other Renewables,514,0.004,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Solar,200,0.001,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Storage,9,0.000,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Wind,1669,0.014,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Coal,18521,0.155,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Gas,56681,0.474,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Hydro,5717,0.047,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Multiple Fuels,1925,0.016,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Nuclear,32043,0.268,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Oil,764,0.006,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Other Renewables,514,0.004,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Solar,1520,0.012,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Storage,2,0.000,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Wind,1657,0.013,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Coal,18408,0.151,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Gas,56089,0.462,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Hydro,5894,0.048,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Multiple Fuels,1721,0.014,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Nuclear,32031,0.264,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Oil,703,0.005,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Other Renewables,500,0.004,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Solar,4005,0.033,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Storage,1,0.000,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Wind,1917,0.015,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Coal,17842,0.146,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Gas,54181,0.445,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Hydro,5999,0.049,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Multiple Fuels,1523,0.012,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Nuclear,32037,0.263,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Oil,605,0.005,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Other Renewables,504,0.004,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Solar,6437,0.053,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Storage,8,0.000,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Wind,2435,0.020,True
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Coal,17319,0.144,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Gas,52238,0.434,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Hydro,5528,0.046,True
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Multiple Fuels,1426,0.011,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Nuclear,32006,0.266,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Oil,619,0.005,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Other Renewables,508,0.004,True
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Solar,7884,0.065,True
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Storage,10,0.000,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Wind,2692,0.022,True
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Coal,16991,0.145,False
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Gas,49528,0.422,False
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Hydro,4529,0.038,True
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Multiple Fuels,1246,0.010,False
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Nuclear,32022,0.273,False
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Oil,633,0.005,False
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Other Renewables,486,0.004,True
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Solar,8859,0.075,True
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Storage,1,0.000,False
6/4/2025 7:00:00 PM,6/4/2025 3:00:00 PM,Wind,2867,0.024,True
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Coal,16937,0.147,False
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Gas,48896,0.424,False
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Hydro,2941,0.025,True
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Multiple Fuels,1151,0.010,False
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Nuclear,32050,0.278,False
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Oil,661,0.005,False
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Other Renewables,494,0.004,True
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Solar,9315,0.081,True
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Storage,0,0.000,False
6/4/2025 6:00:00 PM,6/4/2025 2:00:00 PM,Wind,2621,0.022,True
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Coal,16175,0.144,False
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Gas,46837,0.419,False
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Hydro,2287,0.020,True
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Multiple Fuels,915,0.008,False
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Nuclear,32041,0.286,False
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Oil,632,0.005,False
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Other Renewables,500,0.004,True
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Solar,10067,0.090,True
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Storage,0,0.000,False
6/4/2025 5:00:00 PM,6/4/2025 1:00:00 PM,Wind,2295,0.020,True
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Coal,15180,0.140,False
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Gas,44581,0.412,False
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Hydro,1819,0.016,True
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Multiple Fuels,800,0.007,False
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Nuclear,32084,0.297,False
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Oil,652,0.006,False
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Other Renewables,494,0.004,True
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Solar,10113,0.093,True
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Storage,0,0.000,False
6/4/2025 4:00:00 PM,6/4/2025 12:00:00 PM,Wind,2282,0.021,True
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Coal,14288,0.136,False
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Gas,42971,0.409,False
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Hydro,1274,0.012,True
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Multiple Fuels,414,0.003,False
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Nuclear,32014,0.305,False
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Oil,378,0.003,False
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Other Renewables,480,0.004,True
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Solar,10254,0.097,True
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Storage,0,0.000,False
6/4/2025 3:00:00 PM,6/4/2025 11:00:00 AM,Wind,2785,0.026,True
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Coal,13385,0.130,False
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Gas,40974,0.400,False
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Hydro,1300,0.012,True
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Multiple Fuels,120,0.001,False
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Nuclear,32038,0.313,False
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Oil,339,0.003,False
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Other Renewables,486,0.004,True
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Solar,10081,0.098,True
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Storage,0,0.000,False
6/4/2025 2:00:00 PM,6/4/2025 10:00:00 AM,Wind,3585,0.035,True
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Coal,12830,0.129,False
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Gas,38594,0.390,False
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Hydro,1231,0.012,True
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Multiple Fuels,3,0.000,False
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Nuclear,32068,0.324,False
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Oil,291,0.003,False
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Other Renewables,476,0.004,True
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Solar,9447,0.095,True
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Storage,0,0.000,False
6/4/2025 1:00:00 PM,6/4/2025 9:00:00 AM,Wind,3942,0.039,True
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Coal,12650,0.131,False
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Gas,38130,0.394,False
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Hydro,1270,0.013,True
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Multiple Fuels,106,0.001,False
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Nuclear,32083,0.332,False
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Oil,279,0.002,False
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Other Renewables,467,0.004,True
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Solar,7103,0.073,True
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Storage,0,0.000,False
6/4/2025 12:00:00 PM,6/4/2025 8:00:00 AM,Wind,4484,0.046,True
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Coal,12453,0.134,False
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Gas,37788,0.408,False
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Hydro,1335,0.014,True
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Multiple Fuels,328,0.003,False
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Nuclear,32027,0.346,False
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Oil,254,0.002,False
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Other Renewables,482,0.005,True
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Solar,3197,0.034,True
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Storage,0,0.000,False
6/4/2025 11:00:00 AM,6/4/2025 7:00:00 AM,Wind,4581,0.049,True
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Coal,12435,0.139,False
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Gas,37553,0.421,False
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Hydro,1350,0.015,True
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Multiple Fuels,365,0.004,False
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Nuclear,31977,0.359,False
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Oil,250,0.002,False
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Other Renewables,482,0.005,True
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Solar,415,0.004,True
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Storage,0,0.000,False
6/4/2025 10:00:00 AM,6/4/2025 6:00:00 AM,Wind,4221,0.047,True
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Coal,12076,0.139,False
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Gas,35910,0.415,False
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Hydro,1325,0.015,True
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Multiple Fuels,344,0.004,False
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Nuclear,31959,0.369,False
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Oil,229,0.002,False
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Other Renewables,484,0.005,True
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Solar,28,0.000,True
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Storage,0,0.000,False
6/4/2025 9:00:00 AM,6/4/2025 5:00:00 AM,Wind,4065,0.047,True
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Coal,11915,0.141,False
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Gas,33918,0.401,False
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Hydro,1395,0.016,True
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Multiple Fuels,244,0.002,False
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Nuclear,31754,0.375,False
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Oil,225,0.002,False
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Other Renewables,493,0.005,True
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Solar,28,0.000,True
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Storage,0,0.000,False
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Wind,4556,0.053,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Coal,12032,0.141,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Gas,34174,0.402,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Hydro,1270,0.015,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Multiple Fuels,242,0.002,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Nuclear,31588,0.372,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Oil,222,0.002,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Other Renewables,489,0.005,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Solar,28,0.000,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Storage,0,0.000,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Wind,4829,0.056,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Coal,12219,0.140,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Gas,35956,0.414,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Hydro,1267,0.014,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Multiple Fuels,309,0.003,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Nuclear,31451,0.362,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Oil,219,0.002,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Other Renewables,495,0.005,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Solar,28,0.000,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Storage,0,0.000,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Wind,4829,0.055,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Coal,12331,0.140,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Gas,36831,0.418,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Hydro,1237,0.014,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Multiple Fuels,312,0.003,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Nuclear,31299,0.355,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Oil,218,0.002,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Other Renewables,498,0.005,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Solar,28,0.000,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Storage,0,0.000,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Wind,5231,0.059,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Coal,13502,0.150,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Gas,37165,0.414,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Hydro,1240,0.013,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Multiple Fuels,327,0.003,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Nuclear,31216,0.347,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Oil,246,0.002,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Other Renewables,500,0.005,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Solar,28,0.000,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Storage,0,0.000,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Wind,5517,0.061,True
